ID,Estado de la desaparición,Clasificación de la desaparición,Fecha de la desaparición,Edad al momento de la desaparición,Sexo del desaparecido,País de nacimiento del desaparecido,Ancestro racial del desaparecido,Estado civil del desaparecido,Escolaridad del desaparecido,Pertenencia grupal del desaparecido,País donde ocurre la desaparición,Municipio donde ocurre la desaparición DANE,Departamento donde ocurre la desaparición DANE,Contexto
"231,374",Aparecio Vivo,Sin Información,2023-01-01T00:00:00.000,16,Mujer,Panamá,Negro,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,379",Aparecio Muerto,Sin Información,2023-01-01T00:00:00.000,19,Hombre,Venezuela,Mestizo,Soltero (a),Sin información,Ninguno,Colombia,Cúcuta,Norte De Santander,Desaparición
"231,388",Aparecio Vivo,Sin Información,2023-01-01T00:00:00.000,17,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Medellín,Antioquia,Desaparición
"231,389",Aparecio Vivo,Sin Información,2023-01-01T00:00:00.000,63,Hombre,Sin información,Blanco,Casado (a),Educación media o secundaria alta,Ninguno,Colombia,Jamundí,Valle Del Cauca,Desaparición
"231,396",Aparecio Vivo,Sin Información,2023-01-02T00:00:00.000,14,Mujer,Colombia,Blanco,Soltero (a),Educación básica secundaria o secundaria baja,Sin información,Colombia,Cali,Valle Del Cauca,Desaparición
"231,398",Desaparecido,Sin Información,2023-01-02T00:00:00.000,30,Hombre,Colombia,Sin Información,Unión Libre,Educación media o secundaria alta,Ninguno,Colombia,Girardot,Cundinamarca,Desaparición
"231,401",Aparecio Vivo,Sin Información,2023-01-01T00:00:00.000,24,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,403",Aparecio Vivo,Sin Información,2023-01-03T00:00:00.000,94,Hombre,Colombia,Mestizo,Casado (a),Sin escolaridad,Ninguno,Colombia,Facatativá,Cundinamarca,Desaparición
"231,406",Aparecio Vivo,Sin Información,2023-01-01T00:00:00.000,25,Hombre,Colombia,Mulato,Soltero (a),Educación media o secundaria alta,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
"231,408",Desaparecido,Sin Información,2023-01-01T00:00:00.000,67,Hombre,Colombia,Mestizo,Soltero (a),Educación inicial y educación preescolar,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C,Desaparición
